,workerid,key,value
1,Wcd24be75b9,startTime,Fri Apr 15 2022 14:53:40 GMT-0400 (Eastern Daylight Time)
2,Wcd24be75b9,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
3,Wcd24be75b9,trialDataFile,exp2_split4
4,Wcd24be75b9,featureRandomization,"{""Green"":""Striped"",""Red"":""Spotted"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
5,Wcd24be75b9,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":16}"
6,Wcd24be75b9,quizAttempt-2,"{""attempt"":2,""correct"":9,""total"":10}"
7,Wcd24be75b9,quizAttempt-3,"{""attempt"":3,""correct"":3,""total"":3}"
8,Wcd24be75b9,quizPassed,"{""attempt"":3,""correct"":3,""total"":3}"
9,Wcd24be75b9,bonus,2
10,Wd6cf30c0d3,startTime,Fri Apr 15 2022 14:50:01 GMT-0400 (Eastern Daylight Time)
11,Wd6cf30c0d3,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
12,Wd6cf30c0d3,trialDataFile,exp2_split3
13,Wd6cf30c0d3,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
14,Wd6cf30c0d3,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":16}"
15,Wd6cf30c0d3,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":4}"
16,Wd6cf30c0d3,quizPassed,"{""attempt"":2,""correct"":4,""total"":4}"
17,Wd6cf30c0d3,bonus,2
18,Wbf950f851c,startTime,Fri Apr 15 2022 14:54:03 GMT-0400 (EDT)
19,Wbf950f851c,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
20,Wbf950f851c,trialDataFile,exp2_split3
21,Wbf950f851c,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
22,Wbf950f851c,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
23,Wbf950f851c,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
24,Wbf950f851c,bonus,2
25,W2ae61511cb,startTime,Fri Apr 15 2022 11:52:08 GMT-0700 (Pacific Daylight Time)
26,Wa50e8e9a72,startTime,Fri Apr 15 2022 14:51:03 GMT-0400 (EDT)
27,Wa50e8e9a72,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
28,Wa50e8e9a72,trialDataFile,exp2_split1
29,Wa50e8e9a72,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
30,Wa50e8e9a72,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
31,Wa50e8e9a72,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
32,Wa50e8e9a72,bonus,2
33,W431033b141,startTime,Fri Apr 15 2022 15:20:05 GMT-0400 (Eastern Daylight Time)
34,W431033b141,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
35,W431033b141,trialDataFile,exp2_split4
36,W431033b141,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
37,W431033b141,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
38,W431033b141,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
39,W431033b141,bonus,2
40,Wc2ccb370ec,startTime,Fri Apr 15 2022 11:52:27 GMT-0700 (Pacific Daylight Time)
41,Wc2ccb370ec,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
42,Wc2ccb370ec,trialDataFile,exp2_split3
43,Wc2ccb370ec,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
44,Wc2ccb370ec,quizAttempt-1,"{""attempt"":1,""correct"":9,""total"":16}"
45,Wc2ccb370ec,quizAttempt-2,"{""attempt"":2,""correct"":13,""total"":13}"
46,Wc2ccb370ec,quizPassed,"{""attempt"":2,""correct"":13,""total"":13}"
47,Wc2ccb370ec,bonus,2
48,W96689ec551,startTime,Fri Apr 15 2022 14:50:58 GMT-0400 (Eastern Daylight Time)
49,W96689ec551,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
50,W96689ec551,trialDataFile,exp2_split1
51,W96689ec551,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Solid"",""Solid"":""Striped"",""Striped"":""Spotted""}"
