,workerid,key,value
0,W5a3ca70f67,startTime,Fri Apr 15 2022 08:16:32 GMT-0400 (EDT)
2,W7d0630483a,startTime,Fri Apr 15 2022 13:27:55 GMT+0100 (British Summer Time)
3,W7d0630483a,condition,"{""objective"":""utility"",""trial_type"":""select"",""horizon"":""ambiguous""}"
4,W7d0630483a,trialDataFile,exp1_split3
5,W7d0630483a,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
6,W7d0630483a,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
7,W7d0630483a,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
8,W7d0630483a,bonus,2
9,Wee2c60ab56,startTime,Fri Apr 15 2022 13:25:37 GMT+0100 (British Summer Time)
10,Wee2c60ab56,condition,"{""objective"":""utility"",""trial_type"":""select"",""horizon"":""ambiguous""}"
11,Wee2c60ab56,trialDataFile,exp1_split2
12,Wee2c60ab56,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Red"",""Solid"":""Green"",""Striped"":""Blue""}"
13,Wee2c60ab56,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":16}"
14,Wee2c60ab56,quizAttempt-2,"{""attempt"":2,""correct"":6,""total"":6}"
15,Wee2c60ab56,quizPassed,"{""attempt"":2,""correct"":6,""total"":6}"
16,Wee2c60ab56,bonus,2
17,Wa2ffbc81d4,startTime,Fri Apr 15 2022 13:31:21 GMT+0100 (British Summer Time)
18,Wa2ffbc81d4,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""ambiguous""}"
19,Wa2ffbc81d4,trialDataFile,exp1_split2
20,Wa2ffbc81d4,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
21,Wa2ffbc81d4,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":16}"
22,Wa2ffbc81d4,quizAttempt-2,"{""attempt"":2,""correct"":9,""total"":9}"
23,Wa2ffbc81d4,quizPassed,"{""attempt"":2,""correct"":9,""total"":9}"
24,Wa2ffbc81d4,bonus,2
25,Wc5acdf6463,startTime,Fri Apr 15 2022 16:15:07 GMT+0100 (British Summer Time)
26,Wc5acdf6463,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""ambiguous""}"
27,Wc5acdf6463,trialDataFile,exp1_split2
28,Wc5acdf6463,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
29,Wc5acdf6463,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
30,Wc5acdf6463,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
31,Wc5acdf6463,bonus,2
32,W1610960e1a,startTime,Fri Apr 15 2022 18:05:40 GMT+0100 (British Summer Time)
33,W1610960e1a,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""ambiguous""}"
34,W1610960e1a,trialDataFile,exp1_split2
35,W1610960e1a,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
36,W1610960e1a,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
37,W1610960e1a,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
38,W1610960e1a,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
39,W1610960e1a,bonus,2
40,Wb437f29e48,startTime,Fri Apr 15 2022 13:27:46 GMT+0100 (British Summer Time)
41,Wb437f29e48,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""ambiguous""}"
42,Wb437f29e48,trialDataFile,exp1_split3
43,Wb437f29e48,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
44,Wb437f29e48,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
45,Wb437f29e48,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
46,Wb437f29e48,bonus,2
47,Wb96aacb434,startTime,Fri Apr 15 2022 13:27:56 GMT+0100 (British Summer Time)
48,Wb96aacb434,condition,"{""objective"":""belief"",""trial_type"":""select"",""horizon"":""ambiguous""}"
49,Wb96aacb434,trialDataFile,exp1_split2
